Company,Title,Technical Keywords,Nontechnical Keywords
Bank of America,Software Engineer Accessibility Analyst,"['java', '', 'oriented', 'development', 'ui', 'design', 'analysis', 'management', 'r', 'code', 'application', 'programming', 'bachelor', 'communication', 'testing', 'aws', 'agile', 'javascript']","['experience', 'degree', 'related', 'technical', 'equivalent', 'work', 'ability', 'team', 'management', 'knowledge', 'skill', 'field', 'project', 'technology', 'strong', 'complex', 'understanding', 'test']"
Johns Hopkins Health System - Marketing and Communications,Senior Software Engineer,"['', 'object', 'oriented', 'data', 'structure', 'ui', 'design', 'analysis', 'r', 'software', 'systems', 'computer', 'code', 'application', 'product', 'programming', 'sql', 'cloud', 'bachelor', 'business', 'architecture', 'communication', 'testing', 'database']","['experience', 'year', 'degree', 'related', 'technical', 'working', 'work', 'knowledge', 'skill', 'using', 'understanding', 'high', 'new', 'test']"
U.S. Bank National Association,Associate Software Engineer,"['', 'data', 'structure', 'development', 'ui', 'design', 'analysis', 'r', 'software', 'engineering', 'systems', 'code', 'application', 'product', 'engineer', 'bachelor', 'testing', 'agile', 'coding', 'security', 'algorithms', 'software development']","['experience', 'year', 'degree', 'technical', 'equivalent', 'work', 'ability', 'team', 'including', 'skill', 'technology', 'developing', 'understanding', 'test']"
KBR,Software Developer,"['java', 'python', 'web', '', 'language', 'data', 'development', 'html', 'ui', 'design', 'analysis', 'management', 'r', 'software', 'engineering', 'systems', 'computer', 'code', 'application', 'product', 'engineer', 'mathematics', 'testing', 'security', 'algorithms', 'software development', 'computer science']","['experience', 'year', 'related', 'technical', 'ability', 'management', 'field', 'project', 'science', 'using', 'language', 'complex', 'related field', 'high', 'new', 'test']"
Formlabs,Software Engineer,"['python', 'web', 'c++', '', 'development', 'ui', 'design', 'r', 'software', 'engineering', 'systems', 'code', 'application', 'product', 'engineer', 'models', 'algorithms']","['experience', 'technical', 'work', 'team', 'including', 'complex', 'electrical', 'new', 'test']"
"Amplify Education, Inc.",Software Engineer (Full Stack),"['java', 'web', '', 'data', 'structure', 'html', 'css', 'js', 'react', 'vue', 'ui', 'design', 'analysis', 'r', 'software', 'engineering', 'computer', 'code', 'application', 'product', 'engineer', 'cloud', 'mathematics', 'aws', 'security', 'javascript', 'computer science']","['experience', 'degree', 'working', 'work', 'ability', 'team', 'including', 'building', 'science', 'technology', 'experience working', 'strong', 'service', 'understanding', 'high', 'new']"
Great West Casualty Company,Software Developer - Hybrid,"['java', 'web', '', 'object', 'oriented', 'language', 'development', 'ui', 'design', 'r', 'software', 'engineering', 'computer', 'application', 'engineer', 'programming', 'business', 'computer science']","['experience', 'related', 'work', 'ability', 'team', 'building', 'project', 'science', 'technology', 'using', 'language']"
"INTEL
",FPGA Software Engineer,"['c++', '', 'data', 'development', 'ui', 'design', 'request', 'r', 'software', 'engineering', 'computer', 'engineer', 'models', 'bachelor', 'business', 'communication', 'algorithms', 'software development', 'computer science']","['experience', 'year', 'degree', 'related', 'technical', 'work', 'team', 'knowledge', 'skill', 'field', 'science', 'technology', 'strong', 'complex', 'related field', 'high']"
FDM Group,US - Software Engineer,"['', 'development', 'ui', 'r', 'software', 'engineering', 'engineer']","['experience', 'year', 'working', 'work', 'technology', 'new']"
INTEL,Graphics Software Engineer,"['python', 'c++', '', 'data', 'structure', 'ui', 'analysis', 'r', 'software', 'engineering', 'computer', 'application', 'product', 'engineer', 'programming', 'bachelor', 'architecture', 'computer science']","['experience', 'degree', 'related', 'including', 'knowledge', 'skill', 'field', 'science', 'related field', 'electrical']"
Leonardo DRS,Software Engineer II,"['java', 'web', 'c++', '', 'object', 'oriented', 'language', 'data', 'structure', 'development', 'ui', 'design', 'analysis', 'r', 'software', 'engineering', 'systems', 'computer', 'application', 'product', 'engineer', 'programming', 'machine learning', 'bachelor', 'business', 'architecture', 'communication', 'testing', 'database', 'security', 'troubleshooting', 'unix', 'linux', 'object oriented']","['experience', 'year', 'degree', 'related', 'technical', 'equivalent', 'working', 'work', 'ability', 'team', 'including', 'knowledge', 'skill', 'field', 'technology', 'language', 'complex', 'service', 'understanding', 'high', 'new', 'practical', 'test']"
UnitedHealth Group,"Senior Software Engineer, OptumInsight Tech - Remote","['java', 'python', '', 'object', 'oriented', 'data', 'structure', 'development', 'ui', 'design', 'analysis', 'r', 'software', 'computer', 'code', 'product', 'programming', 'sql', 'business', 'aws', 'database', 'coding', 'security', 'software development', 'computer science']","['experience', 'year', 'related', 'technical', 'work', 'ability', 'team', 'skill', 'field', 'science', 'technology', 'using', 'related field', 'service']"
Raytheon Intelligence & Space,Software Engineer Scrum Master,"['c++', '', 'object', 'oriented', 'development', 'ui', 'design', 'management', 'r', 'software', 'engineering', 'systems', 'product', 'engineer', 'bachelor', 'communication', 'mathematics', 'aws', 'agile', 'security', 'object oriented', 'software development']","['experience', 'year', 'degree', 'related', 'technical', 'equivalent', 'working', 'work', 'ability', 'team', 'management', 'knowledge', 'skill', 'field', 'project', 'science', 'technology', 'using', 'related field', 'practical', 'problem solving']"
Dell,Full stack software Engineer 2 -APEX,"['java', 'web', '', 'data', 'structure', 'development', 'ui', 'design', 'storage', 'r', 'software', 'engineering', 'systems', 'computer', 'code', 'application', 'product', 'engineer', 'cloud', 'business', 'architecture', 'testing', 'agile', 'algorithms', 'software development', 'computer science']","['experience', 'year', 'degree', 'equivalent', 'working', 'work', 'ability', 'team', 'including', 'science', 'using', 'developing', 'service', 'understanding', 'high', 'new', 'test', 'problem solving']"
Paychex,Software Engineer I,"['', 'language', 'ui', 'design', 'r', 'software', 'systems', 'computer', 'code', 'application', 'programming', 'bachelor', 'business', 'troubleshooting']","['experience', 'degree', 'related', 'technical', 'equivalent', 'work', 'using', 'language', 'test']"
Garland ISD,Database Developer,"['', 'data', 'development', 'ui', 'management', 'r', 'systems', 'sql', 'bachelor', 'communication', 'database']","['experience', 'year', 'degree', 'related', 'equivalent', 'working', 'work', 'ability', 'team', 'management', 'knowledge', 'skill', 'field', 'technology', 'using', 'related field', 'service', 'understanding', 'high']"
"Ideal Concepts, Inc",Jr. Software Engineer,"['java', 'python', 'c++', '', 'language', 'html', 'css', 'js', 'ui', 'design', 'management', 'r', 'software', 'engineering', 'computer', 'code', 'application', 'engineer', 'programming', 'sql', 'bachelor', 'communication', 'agile', 'javascript', 'computer science']","['experience', 'degree', 'related', 'work', 'ability', 'team', 'including', 'management', 'knowledge', 'skill', 'field', 'project', 'science', 'technology', 'using', 'language', 'strong', 'related field', 'new']"
